,Assignment,DocumentNo,BusA,Type,Tx,PBk,Clrng_doc.,Text,CoCd,Supplier,Account,G/L,Supplier_Name,Pur._Doc.,Doc._Date,Amt_in_loc.cur.,Clearing,Pstng_Date,Column1,Net_due_dt,Arrers,Arrear,Discont,Day1,Day2,Net,Entity,IC,Net_due_d-clearing_d,Paid_T/F,Inv_Type,Pay_term_in_days,Payment_Term_desc,PT_Category,doc_type
1,5104797709,51000814,,debit,85,,55022909,,12,605572,605572,162000,Lyreco Deutschland GmbH,9500209111.0,12.06.2024,12.54,26.06.2024,12.06.2024,6.2024,12.07.2024,0,-16,False,14,30,0,TKEEA,NO,16,True,,30,innerhalb von 14 Tagen 4 % Skonto,< 30 day,Self Billing
2,40193,47105948,,debit,84,,55022910,ifo InstitutLeibnitz-Institut für FRA.40193,12,606248,606248,162000,ifo Institut,9500209416.0,17.06.2024,2033.0,26.06.2024,24.06.2024,6.2024,01.07.2024,-5,-5,True,14,0,0,TKEEA,NO,5,True,PO,14,innerhalb von 14 Tagen ohne Abzug,< 30 day,PO Invoices
3,202430182,47105921,,debit,85,,55022875,"W01 2024.05.13.WE,TIM",12,606435,606435,162000,next level consulting Deutschland,9500206574.0,29.04.2024,3808.0,13.06.2024,29.05.2024,5.2024,13.06.2024,0,0,True,45,0,0,TKEEA,NO,0,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
7,2024274,37027200,,debit,85,,55022912,"F01 2024.06.17.FR,TIM",12,607749,607749,162000,LUCAS CONSULTING TEAM,,30.05.2024,1963.5,26.06.2024,25.06.2024,6.2024,29.06.2024,-3,-3,True,30,0,0,TKEEA,NO,3,True,FI,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,FI Invoices
8,2024205,47105910,,debit,85,,55022854,"W01 2024.05.06.WE,TIM",12,607749,607749,162000,LUCAS CONSULTING TEAM,9500205887.0,06.05.2024,4341.12,05.06.2024,17.05.2024,5.2024,05.06.2024,0,0,True,30,0,0,TKEEA,NO,0,True,PO,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
9,2024206,47105911,,debit,85,,55022854,"W01 2024.05.06.WE,TIM",12,607749,607749,162000,LUCAS CONSULTING TEAM,9500208716.0,06.05.2024,1963.5,05.06.2024,17.05.2024,5.2024,05.06.2024,0,0,True,30,0,0,TKEEA,NO,0,True,PO,30,Innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
10,IG0000323,47105919,,debit,85,,55022855,"W01 2024.05.13.WE,TIM",12,608716,608716,162000,The Translation People GmbH,9500208679.0,07.05.2024,1470.28,05.06.2024,29.05.2024,5.2024,06.06.2024,-1,-1,True,30,0,0,TKEEA,NO,1,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
11,IG0000327,47105920,,debit,85,,55022855,"W01 2024.05.13.WE,TIM",12,608716,608716,162000,The Translation People GmbH,9500207876.0,08.05.2024,780.71,05.06.2024,29.05.2024,5.2024,07.06.2024,-2,-2,True,30,0,0,TKEEA,NO,2,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
12,IG0000424,47105928,,debit,85,,55022890,"W01 2024.05.29.WE,TIM",12,608716,608716,162000,The Translation People GmbH,9500208946.0,24.05.2024,7566.97,19.06.2024,04.06.2024,6.2024,23.06.2024,-4,-4,True,30,0,0,TKEEA,NO,4,True,PO,30,innerhalb von 30 Tagen ohne Abzug,< 30 day,PO Invoices
13,RE00253990,47105909,,debit,85,,55022856,"W01 2024.05.07.WE,TIM",12,608850,608850,162000,Rosetta Stone GmbH,9500208620.0,24.04.2024,2403.8,05.06.2024,17.05.2024,5.2024,08.06.2024,-3,-3,True,45,0,0,TKEEA,NO,3,True,PO,45,innerhalb von 45 Tagen ohne Abzug,30-60 d,PO Invoices
